Origin,Bulk,Rep,Trmt,TOD,Dead
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,2,48,Control,96,0
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,49,Control,96,NA
Cross,3,50,Control,96,1
Cross,3,50,Control,96,1
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,50,Control,96,0
Cross,3,51,Control,96,1
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,51,Control,96,0
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,24,1
Cross,3,52,Control,96,0
Cross,3,53,Control,72,1
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,53,Control,96,0
Cross,3,54,Control,48,1
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Cross,3,54,Control,96,0
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,24,1
Inshore,1,55,Heat,96,0
Inshore,1,55,Heat,96,0
Inshore,1,55,Heat,96,0
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,56,Heat,96,NA
Inshore,1,57,Heat,24,1
Inshore,1,57,Heat,24,1
Inshore,1,57,Heat,48,1
Inshore,1,57,Heat,48,1
Inshore,1,57,Heat,96,1
Inshore,1,57,Heat,96,1
Inshore,1,57,Heat,96,1
Inshore,1,57,Heat,96,0
Inshore,1,57,Heat,96,0
Inshore,1,57,Heat,96,0
Inshore,1,58,Heat,24,1
Inshore,1,58,Heat,24,1
Inshore,1,58,Heat,24,1
Inshore,1,58,Heat,24,1
Inshore,1,58,Heat,24,1
Inshore,1,58,Heat,48,1
Inshore,1,58,Heat,72,1
Inshore,1,58,Heat,96,1
Inshore,1,58,Heat,96,0
Inshore,1,58,Heat,96,0
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,24,1
Inshore,1,59,Heat,48,1
Inshore,1,59,Heat,96,0
Inshore,1,59,Heat,96,0
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,1,60,Heat,96,NA
Inshore,2,61,Heat,48,1
Inshore,2,61,Heat,48,1
Inshore,2,61,Heat,48,1
Inshore,2,61,Heat,96,1
Inshore,2,61,Heat,96,0
Inshore,2,61,Heat,96,0
Inshore,2,61,Heat,96,0
Inshore,2,61,Heat,96,0
Inshore,2,61,Heat,96,0
Inshore,2,61,Heat,96,0
Inshore,2,62,Heat,24,1
Inshore,2,62,Heat,72,1
Inshore,2,62,Heat,72,1
Inshore,2,62,Heat,72,1
Inshore,2,62,Heat,96,1
Inshore,2,62,Heat,96,1
Inshore,2,62,Heat,96,0
Inshore,2,62,Heat,96,0
Inshore,2,62,Heat,96,0
Inshore,2,62,Heat,96,0
Inshore,2,63,Heat,24,1
Inshore,2,63,Heat,24,1
Inshore,2,63,Heat,24,1
Inshore,2,63,Heat,24,1
Inshore,2,63,Heat,24,1
Inshore,2,63,Heat,48,1
Inshore,2,63,Heat,96,1
Inshore,2,63,Heat,96,1
Inshore,2,63,Heat,96,0
Inshore,2,63,Heat,96,0
Inshore,2,64,Heat,24,1
Inshore,2,64,Heat,48,1
Inshore,2,64,Heat,72,1
Inshore,2,64,Heat,72,1
Inshore,2,64,Heat,96,1
Inshore,2,64,Heat,96,1
Inshore,2,64,Heat,96,0
Inshore,2,64,Heat,96,0
Inshore,2,64,Heat,96,0
Inshore,2,64,Heat,96,0
Inshore,2,65,Heat,24,1
Inshore,2,65,Heat,48,1
Inshore,2,65,Heat,72,1
Inshore,2,65,Heat,72,1
Inshore,2,65,Heat,96,0
Inshore,2,65,Heat,96,0
Inshore,2,65,Heat,96,0
Inshore,2,65,Heat,96,0
Inshore,2,65,Heat,96,0
Inshore,2,65,Heat,96,0
Inshore,2,66,Heat,24,1
Inshore,2,66,Heat,24,1
Inshore,2,66,Heat,24,1
Inshore,2,66,Heat,24,1
Inshore,2,66,Heat,24,1
Inshore,2,66,Heat,72,1
Inshore,2,66,Heat,96,0
Inshore,2,66,Heat,96,0
Inshore,2,66,Heat,96,0
Inshore,2,66,Heat,96,0
Inshore,3,67,Heat,24,1
Inshore,3,67,Heat,48,1
Inshore,3,67,Heat,48,1
Inshore,3,67,Heat,96,1
Inshore,3,67,Heat,96,1
Inshore,3,67,Heat,96,0
Inshore,3,67,Heat,96,0
Inshore,3,67,Heat,96,0
Inshore,3,67,Heat,96,0
Inshore,3,67,Heat,96,0
Inshore,3,68,Heat,96,1
Inshore,3,68,Heat,96,1
Inshore,3,68,Heat,96,1
Inshore,3,68,Heat,96,1
Inshore,3,68,Heat,96,1
Inshore,3,68,Heat,96,0
Inshore,3,68,Heat,96,0
Inshore,3,68,Heat,96,0
Inshore,3,68,Heat,96,0
Inshore,3,68,Heat,96,0
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,24,1
Inshore,3,69,Heat,96,1
Inshore,3,69,Heat,96,0
Inshore,3,69,Heat,96,0
Inshore,3,69,Heat,96,0
Inshore,3,70,Heat,48,1
Inshore,3,70,Heat,72,1
Inshore,3,70,Heat,72,1
Inshore,3,70,Heat,72,1
Inshore,3,70,Heat,96,1
Inshore,3,70,Heat,96,1
Inshore,3,70,Heat,96,1
Inshore,3,70,Heat,96,0
Inshore,3,70,Heat,96,0
Inshore,3,70,Heat,96,0
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,24,1
Inshore,3,71,Heat,96,0
Inshore,3,71,Heat,96,0
Inshore,3,71,Heat,96,0
Inshore,3,71,Heat,96,0
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,24,1
Inshore,3,72,Heat,96,0
Inshore,3,72,Heat,96,0
Offshore,1,73,Heat,24,1
Offshore,1,73,Heat,24,1
Offshore,1,73,Heat,24,1
Offshore,1,73,Heat,96,1
Offshore,1,73,Heat,96,1
Offshore,1,73,Heat,96,0
Offshore,1,73,Heat,96,0
Offshore,1,73,Heat,96,0
Offshore,1,73,Heat,96,0
Offshore,1,73,Heat,96,0
Offshore,1,74,Heat,24,1
Offshore,1,74,Heat,24,1
Offshore,1,74,Heat,24,1
Offshore,1,74,Heat,24,1
Offshore,1,74,Heat,72,1
Offshore,1,74,Heat,96,1
Offshore,1,74,Heat,96,0
Offshore,1,74,Heat,96,0
Offshore,1,74,Heat,96,0
Offshore,1,74,Heat,96,0
Offshore,1,75,Heat,48,1
Offshore,1,75,Heat,48,1
Offshore,1,75,Heat,96,1
Offshore,1,75,Heat,96,1
Offshore,1,75,Heat,96,1
Offshore,1,75,Heat,96,1
Offshore,1,75,Heat,96,0
Offshore,1,75,Heat,96,0
Offshore,1,75,Heat,96,0
Offshore,1,75,Heat,96,0
Offshore,1,76,Heat,24,1
Offshore,1,76,Heat,24,1
Offshore,1,76,Heat,72,1
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,76,Heat,96,0
Offshore,1,77,Heat,24,1
Offshore,1,77,Heat,24,1
Offshore,1,77,Heat,24,1
Offshore,1,77,Heat,24,1
Offshore,1,77,Heat,96,0
Offshore,1,77,Heat,96,0
Offshore,1,77,Heat,96,0
Offshore,1,77,Heat,96,0
Offshore,1,77,Heat,96,0
Offshore,1,77,Heat,96,0
Offshore,1,78,Heat,24,1
Offshore,1,78,Heat,48,1
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,1,78,Heat,96,0
Offshore,2,79,Heat,24,1
Offshore,2,79,Heat,24,1
Offshore,2,79,Heat,72,1
Offshore,2,79,Heat,72,1
Offshore,2,79,Heat,96,1
Offshore,2,79,Heat,96,0
Offshore,2,79,Heat,96,0
Offshore,2,79,Heat,96,0
Offshore,2,79,Heat,96,0
Offshore,2,79,Heat,96,0
Offshore,2,80,Heat,24,1
Offshore,2,80,Heat,24,1
Offshore,2,80,Heat,72,1
Offshore,2,80,Heat,96,1
Offshore,2,80,Heat,96,0
Offshore,2,80,Heat,96,0
Offshore,2,80,Heat,96,0
Offshore,2,80,Heat,96,0
Offshore,2,80,Heat,96,0
Offshore,2,80,Heat,96,0
Offshore,2,81,Heat,24,1
Offshore,2,81,Heat,24,1
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,81,Heat,96,0
Offshore,2,82,Heat,48,1
Offshore,2,82,Heat,48,1
Offshore,2,82,Heat,48,1
Offshore,2,82,Heat,96,1
Offshore,2,82,Heat,96,1
Offshore,2,82,Heat,96,1
Offshore,2,82,Heat,96,1
Offshore,2,82,Heat,96,0
Offshore,2,82,Heat,96,0
Offshore,2,82,Heat,96,0
Offshore,2,83,Heat,24,1
Offshore,2,83,Heat,24,1
Offshore,2,83,Heat,48,1
Offshore,2,83,Heat,72,1
Offshore,2,83,Heat,72,1
Offshore,2,83,Heat,96,1
Offshore,2,83,Heat,96,0
Offshore,2,83,Heat,96,0
Offshore,2,83,Heat,96,0
Offshore,2,83,Heat,96,0
Offshore,2,84,Heat,48,1
Offshore,2,84,Heat,48,1
Offshore,2,84,Heat,48,1
Offshore,2,84,Heat,72,1
Offshore,2,84,Heat,72,1
Offshore,2,84,Heat,72,1
Offshore,2,84,Heat,72,1
Offshore,2,84,Heat,96,1
Offshore,2,84,Heat,96,0
Offshore,2,84,Heat,96,0
Offshore,3,85,Heat,24,1
Offshore,3,85,Heat,24,1
Offshore,3,85,Heat,24,1
Offshore,3,85,Heat,24,1
Offshore,3,85,Heat,72,1
Offshore,3,85,Heat,96,0
Offshore,3,85,Heat,96,0
Offshore,3,85,Heat,96,0
Offshore,3,85,Heat,96,0
Offshore,3,85,Heat,96,0
Offshore,3,86,Heat,24,1
Offshore,3,86,Heat,24,1
Offshore,3,86,Heat,24,1
Offshore,3,86,Heat,24,1
Offshore,3,86,Heat,24,1
