gene,logP
isogroupOFAVBQ_DN167803_c0_g1,NA
isogroupOFAVBQ_DN167808_c0_g1,NA
isogroupOFAVBQ_DN167910_c0_g1,NA
isogroupOFAVBQ_DN167932_c0_g2,NA
isogroupOFAVBQ_DN167976_c0_g1,NA
isogroupOFAVBQ_DN167983_c0_g1,NA
isogroupOFAVBQ_DN167996_c0_g1,NA
isogroupOFAVBQ_DN168184_c0_g1,-0.798080324276392
isogroupOFAVBQ_DN168278_c0_g1,NA
isogroupOFAVBQ_DN168318_c0_g1,NA
isogroupOFAVBQ_DN168361_c0_g1,NA
isogroupOFAVBQ_DN168363_c1_g1,NA
isogroupOFAVBQ_DN168440_c0_g2,NA
isogroupOFAVBQ_DN168612_c0_g1,0.0911774496041898
isogroupOFAVBQ_DN168643_c0_g1,NA
isogroupOFAVBQ_DN168880_c0_g1,NA
isogroupOFAVBQ_DN169172_c0_g1,NA
isogroupOFAVBQ_DN169207_c0_g1,NA
isogroupOFAVBQ_DN169345_c0_g2,NA
isogroupOFAVBQ_DN169383_c0_g1,NA
isogroupOFAVBQ_DN169391_c0_g1,-0.0475705025078585
isogroupOFAVBQ_DN169712_c1_g1,NA
isogroupOFAVBQ_DN169747_c0_g3,NA
isogroupOFAVBQ_DN169753_c0_g1,NA
isogroupOFAVBQ_DN169762_c0_g2,NA
isogroupOFAVBQ_DN169894_c0_g1,NA
isogroupOFAVBQ_DN169959_c0_g1,NA
isogroupOFAVBQ_DN17002_c0_g1,NA
isogroupOFAVBQ_DN170188_c0_g1,NA
isogroupOFAVBQ_DN170289_c1_g2,NA
isogroupOFAVBQ_DN170390_c0_g1,NA
isogroupOFAVBQ_DN170501_c0_g1,NA
isogroupOFAVBQ_DN170513_c0_g1,NA
isogroupOFAVBQ_DN170612_c0_g1,NA
isogroupOFAVBQ_DN170777_c0_g1,NA
isogroupOFAVBQ_DN170826_c0_g1,NA
isogroupOFAVBQ_DN170870_c0_g1,NA
isogroupOFAVBQ_DN170887_c0_g1,NA
isogroupOFAVBQ_DN170977_c1_g1,NA
isogroupOFAVBQ_DN171355_c1_g1,0.407455704964988
isogroupOFAVBQ_DN171422_c1_g1,NA
isogroupOFAVBQ_DN171493_c0_g2,NA
isogroupOFAVBQ_DN171493_c0_g3,0.0767160992615428
isogroupOFAVBQ_DN171576_c0_g1,NA
isogroupOFAVBQ_DN171576_c0_g2,NA
