gene,logP
isogroupOFAVBQ_DN167976_c0_g1,NA
isogroupOFAVBQ_DN167983_c0_g1,NA
isogroupOFAVBQ_DN167996_c0_g1,NA
isogroupOFAVBQ_DN168068_c0_g1,NA
isogroupOFAVBQ_DN168116_c0_g1,NA
isogroupOFAVBQ_DN168184_c0_g1,-0.0876342069836082
isogroupOFAVBQ_DN168214_c0_g1,NA
isogroupOFAVBQ_DN168318_c0_g1,NA
isogroupOFAVBQ_DN168361_c0_g1,NA
isogroupOFAVBQ_DN16845_c0_g1,NA
isogroupOFAVBQ_DN168612_c0_g1,NA
isogroupOFAVBQ_DN168621_c0_g2,NA
isogroupOFAVBQ_DN168643_c0_g1,NA
isogroupOFAVBQ_DN168992_c0_g1,NA
isogroupOFAVBQ_DN169008_c0_g1,NA
isogroupOFAVBQ_DN169015_c0_g2,NA
isogroupOFAVBQ_DN169123_c0_g1,NA
isogroupOFAVBQ_DN169172_c0_g1,NA
isogroupOFAVBQ_DN169207_c0_g1,NA
isogroupOFAVBQ_DN169367_c1_g1,NA
isogroupOFAVBQ_DN169383_c0_g1,NA
isogroupOFAVBQ_DN169391_c0_g1,NA
isogroupOFAVBQ_DN169595_c0_g1,NA
isogroupOFAVBQ_DN169747_c0_g3,NA
isogroupOFAVBQ_DN169762_c0_g2,NA
isogroupOFAVBQ_DN169894_c0_g1,NA
isogroupOFAVBQ_DN169959_c0_g1,NA
isogroupOFAVBQ_DN169978_c0_g1,NA
isogroupOFAVBQ_DN17002_c0_g1,NA
isogroupOFAVBQ_DN170142_c0_g1,NA
isogroupOFAVBQ_DN170188_c0_g1,NA
isogroupOFAVBQ_DN170289_c1_g2,NA
isogroupOFAVBQ_DN170501_c0_g1,NA
isogroupOFAVBQ_DN170513_c0_g1,NA
isogroupOFAVBQ_DN170738_c0_g1,NA
isogroupOFAVBQ_DN170756_c0_g2,0.697524650374319
isogroupOFAVBQ_DN170777_c0_g1,NA
isogroupOFAVBQ_DN170822_c0_g1,NA
isogroupOFAVBQ_DN170826_c0_g1,NA
isogroupOFAVBQ_DN170977_c1_g1,NA
isogroupOFAVBQ_DN171088_c0_g2,NA
