ProbeID,modules2019
isogroupOFAVBQ_DN164688_c0_g1,0
isogroupOFAVBQ_DN164688_c1_g1,0
isogroupOFAVBQ_DN164743_c0_g1,0
isogroupOFAVBQ_DN164806_c0_g1,0
isogroupOFAVBQ_DN165095_c0_g1,0
isogroupOFAVBQ_DN165390_c0_g1,0
isogroupOFAVBQ_DN165559_c2_g1,0
isogroupOFAVBQ_DN16562_c0_g1,0
isogroupOFAVBQ_DN165653_c0_g1,0
isogroupOFAVBQ_DN165686_c0_g1,0
isogroupOFAVBQ_DN165719_c0_g1,0
isogroupOFAVBQ_DN165755_c0_g1,0
isogroupOFAVBQ_DN165798_c0_g1,0
isogroupOFAVBQ_DN165875_c0_g1,0
isogroupOFAVBQ_DN165875_c1_g1,0
isogroupOFAVBQ_DN165875_c2_g1,0
isogroupOFAVBQ_DN165883_c0_g1,0
isogroupOFAVBQ_DN165889_c2_g1,1
isogroupOFAVBQ_DN166008_c0_g1,0
isogroupOFAVBQ_DN166079_c0_g1,0
isogroupOFAVBQ_DN166103_c0_g3,0
isogroupOFAVBQ_DN166177_c0_g1,0
isogroupOFAVBQ_DN166330_c0_g1,0
isogroupOFAVBQ_DN166352_c0_g1,0
isogroupOFAVBQ_DN166376_c0_g1,0
isogroupOFAVBQ_DN166512_c0_g1,0
isogroupOFAVBQ_DN166592_c0_g1,0
isogroupOFAVBQ_DN166633_c1_g1,0
isogroupOFAVBQ_DN166774_c0_g1,0
isogroupOFAVBQ_DN166864_c0_g1,0
isogroupOFAVBQ_DN166867_c0_g1,0
isogroupOFAVBQ_DN166887_c0_g1,0
isogroupOFAVBQ_DN166907_c0_g1,0
isogroupOFAVBQ_DN167095_c0_g1,0
isogroupOFAVBQ_DN167127_c0_g1,0
isogroupOFAVBQ_DN167142_c0_g1,0
isogroupOFAVBQ_DN16740_c0_g1,0
isogroupOFAVBQ_DN167514_c0_g2,0
isogroupOFAVBQ_DN167554_c0_g1,0
isogroupOFAVBQ_DN167803_c0_g1,0
isogroupOFAVBQ_DN167807_c0_g1,0
isogroupOFAVBQ_DN167932_c0_g2,0
isogroupOFAVBQ_DN167976_c0_g1,0
isogroupOFAVBQ_DN167983_c0_g1,0
isogroupOFAVBQ_DN167996_c0_g1,0
isogroupOFAVBQ_DN168184_c0_g1,0
isogroupOFAVBQ_DN168318_c0_g1,0
isogroupOFAVBQ_DN168361_c0_g1,0
isogroupOFAVBQ_DN168363_c1_g1,0
isogroupOFAVBQ_DN16845_c0_g1,0
isogroupOFAVBQ_DN168612_c0_g1,0
isogroupOFAVBQ_DN168621_c0_g2,0
isogroupOFAVBQ_DN168643_c0_g1,0
isogroupOFAVBQ_DN169008_c0_g1,0
isogroupOFAVBQ_DN169015_c0_g2,0
isogroupOFAVBQ_DN169123_c0_g1,0
isogroupOFAVBQ_DN169172_c0_g1,0
isogroupOFAVBQ_DN169207_c0_g1,0
isogroupOFAVBQ_DN169367_c1_g1,0
isogroupOFAVBQ_DN169383_c0_g1,0
isogroupOFAVBQ_DN169391_c0_g1,0
isogroupOFAVBQ_DN169712_c1_g1,0
isogroupOFAVBQ_DN169747_c0_g3,0
isogroupOFAVBQ_DN169753_c0_g1,0
isogroupOFAVBQ_DN169762_c0_g2,0
isogroupOFAVBQ_DN169894_c0_g1,0
isogroupOFAVBQ_DN169959_c0_g1,0
isogroupOFAVBQ_DN169978_c0_g1,0
isogroupOFAVBQ_DN17002_c0_g1,0
isogroupOFAVBQ_DN170188_c0_g1,0
isogroupOFAVBQ_DN170289_c1_g2,0
isogroupOFAVBQ_DN170501_c0_g1,0
isogroupOFAVBQ_DN170513_c0_g1,0
isogroupOFAVBQ_DN170738_c0_g1,0
isogroupOFAVBQ_DN170756_c0_g2,0
isogroupOFAVBQ_DN170777_c0_g1,0
isogroupOFAVBQ_DN170826_c0_g1,0
isogroupOFAVBQ_DN170870_c0_g1,0
isogroupOFAVBQ_DN170977_c1_g1,0
isogroupOFAVBQ_DN171104_c0_g1,0
isogroupOFAVBQ_DN171355_c1_g1,0
isogroupOFAVBQ_DN171422_c1_g1,0
isogroupOFAVBQ_DN171493_c0_g1,0
isogroupOFAVBQ_DN171493_c0_g2,0
isogroupOFAVBQ_DN171493_c0_g3,0
isogroupOFAVBQ_DN171576_c0_g2,0
isogroupOFAVBQ_DN171661_c0_g1,0
isogroupOFAVBQ_DN171674_c0_g1,0
isogroupOFAVBQ_DN171775_c0_g1,0
isogroupOFAVBQ_DN171785_c0_g1,0
isogroupOFAVBQ_DN171844_c1_g1,0
isogroupOFAVBQ_DN171861_c0_g1,0
isogroupOFAVBQ_DN171877_c0_g1,0
isogroupOFAVBQ_DN172086_c0_g1,0
isogroupOFAVBQ_DN172191_c0_g1,0
isogroupOFAVBQ_DN172283_c0_g1,0
isogroupOFAVBQ_DN172296_c1_g1,0
isogroupOFAVBQ_DN172304_c0_g1,0
isogroupOFAVBQ_DN172342_c0_g4,0
isogroupOFAVBQ_DN172350_c0_g1,0
isogroupOFAVBQ_DN172434_c0_g1,0
isogroupOFAVBQ_DN172458_c0_g1,0
isogroupOFAVBQ_DN172519_c0_g1,0
isogroupOFAVBQ_DN172525_c0_g1,0
isogroupOFAVBQ_DN172554_c0_g1,0
isogroupOFAVBQ_DN172634_c1_g1,0
isogroupOFAVBQ_DN172634_c1_g2,0
isogroupOFAVBQ_DN172634_c1_g4,0
isogroupOFAVBQ_DN172634_c1_g6,0
isogroupOFAVBQ_DN172653_c0_g1,0
isogroupOFAVBQ_DN172676_c0_g1,0
isogroupOFAVBQ_DN172677_c0_g1,0
isogroupOFAVBQ_DN172724_c0_g1,0
isogroupOFAVBQ_DN172753_c0_g1,0
isogroupOFAVBQ_DN172778_c0_g1,0
isogroupOFAVBQ_DN172790_c0_g1,0
isogroupOFAVBQ_DN172790_c0_g2,0
isogroupOFAVBQ_DN172843_c1_g1,0
isogroupOFAVBQ_DN172851_c0_g1,0
isogroupOFAVBQ_DN172863_c0_g1,0
isogroupOFAVBQ_DN172945_c0_g1,0
isogroupOFAVBQ_DN172990_c0_g1,0
isogroupOFAVBQ_DN173004_c0_g3,0
isogroupOFAVBQ_DN173054_c0_g2,0
isogroupOFAVBQ_DN173083_c0_g2,0
isogroupOFAVBQ_DN173137_c0_g2,0
isogroupOFAVBQ_DN173206_c0_g1,0
isogroupOFAVBQ_DN173217_c0_g1,0
isogroupOFAVBQ_DN173458_c0_g1,0
isogroupOFAVBQ_DN173462_c1_g1,0
isogroupOFAVBQ_DN173475_c0_g1,0
isogroupOFAVBQ_DN173510_c0_g1,0
isogroupOFAVBQ_DN173526_c0_g1,0
isogroupOFAVBQ_DN173540_c0_g1,0
isogroupOFAVBQ_DN173653_c0_g1,0
isogroupOFAVBQ_DN173664_c0_g2,0
isogroupOFAVBQ_DN173974_c0_g1,0
isogroupOFAVBQ_DN174005_c0_g2,0
isogroupOFAVBQ_DN174010_c0_g1,0
isogroupOFAVBQ_DN174209_c0_g1,0
isogroupOFAVBQ_DN174240_c0_g1,0
isogroupOFAVBQ_DN174249_c0_g1,0
isogroupOFAVBQ_DN174279_c0_g1,0
isogroupOFAVBQ_DN174300_c0_g1,0
isogroupOFAVBQ_DN174307_c0_g1,0
isogroupOFAVBQ_DN174467_c0_g1,0
isogroupOFAVBQ_DN174474_c0_g1,0
isogroupOFAVBQ_DN174478_c0_g1,0
isogroupOFAVBQ_DN174513_c0_g2,0
isogroupOFAVBQ_DN174537_c0_g1,0
isogroupOFAVBQ_DN174556_c0_g1,0
isogroupOFAVBQ_DN174605_c2_g1,0
isogroupOFAVBQ_DN17466_c0_g1,0
isogroupOFAVBQ_DN174780_c0_g1,0
